fund_identifier,funds,returns,fund_company,fund_type
8631,Manulife Beutel Goodman American Equity Fund,-3.43,Manulife,Available
8633,Manulife Beutel Goodman Global Equity Fund,-1.83,Manulife,Available
8634,Manulife Beutel Goodman International Equity Fund,0.63,Manulife,Available
8660,Manulife MIM Hedged US Equity Index Fund,-2.58,Manulife,Available
8664,Manulife MIM US Equity Direct Index Registered Fund,0.24,Manulife,Available
8670,Manulife MIM International Equity Index Fund,0.33,Manulife,Available
8671,Manulife MIM Global Climate Fund,0.22,Manulife,Available
8672,Manulife MIM Global Equity Index Fund,0.18,Manulife,Available
8681,Manulife MFS International Equity Fund II,0.23,Manulife,Available
8683,Manulife MFS US Equity Core Fund,-0.53,Manulife,Available
8684,Manulife MFS Global Growth Equity Fund,-0.39,Manulife,Available
8688,Manulife MFS Global Research Equity Fund,-0.03,Manulife,Available
8703,Manulife Fiera Capital US Equity Fund,-1.56,Manulife,Available
8704,Manulife Fiera Capital International Equity Fund,0.22,Manulife,Available
8741,Manulife TRowe Price Global Focused Growth Equity Fund,0.3,Manulife,Available
8762,Manulife State Street US Equity Fund,0.13,Manulife,Available
8812,Manulife TD Low Volatility All World Equity Fund,-0.67,Manulife,Available
8813,Manulife TDAM Hedged Synthetic International Equity Index Fund,0.47,Manulife,Available
8814,Manulife Epoch US Shareholder Yield Fund,-3.23,Manulife,Available
8815,Manulife Epoch Global Shareholder Yield Fund,-1.27,Manulife,Available
8852,Manulife US Equity Fund (abrdn),1.89,Manulife,Available
8853,Manulife US Equity Non-Registered Fund (abrdn),1.92,Manulife,Available
8871,Manulife BMOAM US Equity Fund,0.2,Manulife,Available
8931,Manulife Lazard Global Small-Cap Equity Fund,-1.44,Manulife,Available
8932,Manulife Lazard Global Infrastructure Fund,-3.0,Manulife,Available
8971,Manulife NEI US Equity RS Fund II,0.72,Manulife,Available
8972,Manulife NEI International Equity RS Fund,0.27,Manulife,Available
8973,Manulife NEI Environmental Leaders Fund,-3.02,Manulife,Available
9064,Manulife Schroder Diversified Growth Fund,-1.6,Manulife,Available
9575,Manulife Canadian Real Estate Fund,-0.57,Manulife,Available
