fund_identifier,funds,fees,fund_company
F00000T68C,SL Granite 2035 Conservative Seg Fund,0.0124,Sun Life
F00000T68B,SL Granite 2025 Conservative Seg Fund,0.0124,Sun Life
F00000T689,SL Granite 2045 Aggressive Seg Fund,0.0124,Sun Life
F00000T688,SL Granite 2035 Aggressive Seg Fund,0.0124,Sun Life
F00000T687,SL Granite 2025 Aggressive Seg Fund,0.0125,Sun Life
F00000NMHB,SL Granite 2050 Moderate Seg Fund,0.0123,Sun Life
F00000NMHA,SL Granite 2040 Moderate Seg Fund,0.0123,Sun Life
F00000NMH9,SL Granite 2030 Moderate Seg Fund,0.0123,Sun Life
F00000NMH7,SL Granite 2050 Conservative Seg Fund,0.0124,Sun Life
F00000NMH6,SL Granite 2040 Conservative Seg Fund,0.0124,Sun Life
F00000NMH5,SL Granite 2030 Conservative Seg Fund,0.0124,Sun Life
F00000NMH3,SL Granite 2050 Aggressive Seg Fund,0.0124,Sun Life
F00000NMH2,SL Granite 2040 Aggressive Seg Fund,0.0124,Sun Life
F00000NMH1,SL Granite 2030 Aggressive Seg Fund,0.0124,Sun Life
F0CAN06YCT,SL 2025 Milestone Seg Fund,0.0123,Sun Life
F0CAN06YCU,SL 2030 Milestone Seg Fund,0.0123,Sun Life
F0CAN06YCV,SL 2035 Milestone Seg Fund,0.0123,Sun Life
F0CAN06YCW,SL 2040 Milestone Seg Fund,0.0123,Sun Life
F00000H9MM,SL 2045 Milestone Seg Fund,0.0123,Sun Life
F00000X8PN,SL 2050 Milestone Seg Fund,0.0123,Sun Life
F00000X8PO,SL 2055 Milestone Seg Fund,0.01235,Sun Life
F000013QNW,SL 2060 Milestone Seg Fund,0.0125,Sun Life
FOUSA06OOV,MFS Responsible Balanced Segregated Fund,0.0125,Sun Life
